name,schema,description
e_0330.xml,schema-xml.csv,高雄市_建華段
e_0332.xml,schema-xml.csv,高雄市_藍田段二小段
e_0334.xml,schema-xml.csv,高雄市_援中段
e_0335.xml,schema-xml.csv,高雄市_楠梓段一小段
e_0336.xml,schema-xml.csv,高雄市_楠梓段二小段
e_0337.xml,schema-xml.csv,高雄市_楠梓段三小段
e_0338.xml,schema-xml.csv,高雄市_楠梓段四小段
e_0339.xml,schema-xml.csv,高雄市_土庫段一小段
e_0340.xml,schema-xml.csv,高雄市_土庫段二小段
e_0341.xml,schema-xml.csv,高雄市_土庫段三小段
e_0342.xml,schema-xml.csv,高雄市_土庫段四小段
e_0343.xml,schema-xml.csv,高雄市_楠都段一小段
e_0344.xml,schema-xml.csv,高雄市_楠都段二小段
e_0345.xml,schema-xml.csv,高雄市_楠都段三小段
e_0346.xml,schema-xml.csv,高雄市_楠都段四小段
e_0347.xml,schema-xml.csv,高雄市_和平段三小段
e_0348.xml,schema-xml.csv,高雄市_和平段四小段
e_0349.xml,schema-xml.csv,高雄市_和平段五小段
e_0350.xml,schema-xml.csv,高雄市_德昌段
e_0351.xml,schema-xml.csv,高雄市_高昌段
e_0352.xml,schema-xml.csv,高雄市_清楠段
e_0353.xml,schema-xml.csv,高雄市_清豐段
e_0354.xml,schema-xml.csv,高雄市_楠園段
e_0355.xml,schema-xml.csv,高雄市_芎蕉段
e_0357.xml,schema-xml.csv,高雄市_加昌段一小段
e_0358.xml,schema-xml.csv,高雄市_加昌段二小段
e_0359.xml,schema-xml.csv,高雄市_莒光段四小段
e_0360.xml,schema-xml.csv,高雄市_右昌段七小段
e_0362.xml,schema-xml.csv,高雄市_藍田東段
e_0363.xml,schema-xml.csv,高雄市_藍田東段一小段
e_0364.xml,schema-xml.csv,高雄市_藍田東段二小段
e_0365.xml,schema-xml.csv,高雄市_藍田中段
e_0367.xml,schema-xml.csv,高雄市_藍田中段二小段
e_0368.xml,schema-xml.csv,高雄市_藍田西段
e_0369.xml,schema-xml.csv,高雄市_藍田西段一小段
e_0370.xml,schema-xml.csv,高雄市_藍田西段二小段
e_0372.xml,schema-xml.csv,高雄市_藍田西段四小段
e_0374.xml,schema-xml.csv,高雄市_藍田西段六小段
e_0376.xml,schema-xml.csv,高雄市_援中段一小段
e_0377.xml,schema-xml.csv,高雄市_援中段二小段
e_0381.xml,schema-xml.csv,高雄市_和平東段
e_0382.xml,schema-xml.csv,高雄市_翠屏段一小段
e_0383.xml,schema-xml.csv,高雄市_翠屏段二小段
e_0387.xml,schema-xml.csv,高雄市_藍田中段四小段
e_0388.xml,schema-xml.csv,高雄市_藍田中段五小段
e_0389.xml,schema-xml.csv,高雄市_藍田西段七小段
e_0390.xml,schema-xml.csv,高雄市_油廠段
e_0391.xml,schema-xml.csv,高雄市_油舍段
e_0392.xml,schema-xml.csv,高雄市_大昌段
e_0394.xml,schema-xml.csv,高雄市_惠民段
e_0500.xml,schema-xml.csv,高雄市_中華段一小段
e_0501.xml,schema-xml.csv,高雄市_中華段二小段
e_0502.xml,schema-xml.csv,高雄市_中都段一小段
e_0503.xml,schema-xml.csv,高雄市_中都段二小段
e_0504.xml,schema-xml.csv,高雄市_中都段三小段
e_0505.xml,schema-xml.csv,高雄市_中都段四小段
e_0506.xml,schema-xml.csv,高雄市_陽明段一小段
e_0507.xml,schema-xml.csv,高雄市_陽明段二小段
e_0508.xml,schema-xml.csv,高雄市_陽明段三小段
e_0509.xml,schema-xml.csv,高雄市_澄清段一小段
e_0510.xml,schema-xml.csv,高雄市_大豐段一小段
e_0511.xml,schema-xml.csv,高雄市_大豐段二小段
e_0512.xml,schema-xml.csv,高雄市_大裕段一小段
e_0513.xml,schema-xml.csv,高雄市_大裕段二小段
e_0514.xml,schema-xml.csv,高雄市_河濱段
e_0515.xml,schema-xml.csv,高雄市_陽明段四小段
e_0516.xml,schema-xml.csv,高雄市_澄清段二小段
e_0518.xml,schema-xml.csv,高雄市_建昌段
e_0519.xml,schema-xml.csv,高雄市_建工段
e_0520.xml,schema-xml.csv,高雄市_建豐段
e_0521.xml,schema-xml.csv,高雄市_建興段
e_0522.xml,schema-xml.csv,高雄市_建德段
e_0523.xml,schema-xml.csv,高雄市_建安段
e_0524.xml,schema-xml.csv,高雄市_建民段
e_0525.xml,schema-xml.csv,高雄市_建生段
e_0526.xml,schema-xml.csv,高雄市_澄義段
e_0527.xml,schema-xml.csv,高雄市_水源段
e_0528.xml,schema-xml.csv,高雄市_義民段
e_0529.xml,schema-xml.csv,高雄市_有光段
e_0530.xml,schema-xml.csv,高雄市_大順段
e_0531.xml,schema-xml.csv,高雄市_凱歌段
e_0532.xml,schema-xml.csv,高雄市_長明段
e_0533.xml,schema-xml.csv,高雄市_鼎金段
e_0534.xml,schema-xml.csv,高雄市_鼎泰段
e_0535.xml,schema-xml.csv,高雄市_鼎盛段
e_0536.xml,schema-xml.csv,高雄市_鼎中段
e_0537.xml,schema-xml.csv,高雄市_鼎新段
e_0538.xml,schema-xml.csv,高雄市_鼎山段
e_0539.xml,schema-xml.csv,高雄市_灣愛段
e_0540.xml,schema-xml.csv,高雄市_灣內段
e_0541.xml,schema-xml.csv,高雄市_灣成段
e_0542.xml,schema-xml.csv,高雄市_灣昌段
e_0543.xml,schema-xml.csv,高雄市_灣志段
e_0544.xml,schema-xml.csv,高雄市_灣立段
e_0546.xml,schema-xml.csv,高雄市_灣華段
e_0547.xml,schema-xml.csv,高雄市_灣中段
e_0548.xml,schema-xml.csv,高雄市_灣復段
e_0549.xml,schema-xml.csv,高雄市_灣興段
e_0550.xml,schema-xml.csv,高雄市_寶國段
e_0551.xml,schema-xml.csv,高雄市_義華段
e_0552.xml,schema-xml.csv,高雄市_三塊厝段
e_0553.xml,schema-xml.csv,高雄市_大港段
